,actor,date,movie,press_rating,producer,spectators_rating
272,Michael Keaton,25 février 2015,Birdman,"4,0",Alejandro González Iñárritu,"3,9"
273,Kyan Khojandi,11 février 2015,Les Nouveaux Héros,"3,8",Don Hall,"4,3"
274,Lily Collins,28 octobre 2015,"Love, Rosie",,Christian Ditter,"4,2"
275,Chris Evans,26 mars 2014,"Captain America, le soldat de l'hiver","3,2",Anthony Russo,"4,0"
276,Michael Pitt,24 septembre 2014,I Origins,"3,0",Mike Cahill (II),"4,1"
277,Sullivan Stapleton,5 mars 2014,300 : La naissance d'un Empire,"2,5",Noam Murro,"3,3"
278,Michelle Monaghan,24 avril 2015,Une seconde chance,,Michael Hoffman,"4,0"
279,Tom Cruise,4 juin 2014,Edge Of Tomorrow,"3,5",Doug Liman,"4,1"
280,Jake Gyllenhaal,26 novembre 2014,Night Call,"3,8",Dan Gilroy,"4,1"
281,Maika Monroe,4 février 2015,It Follows,"4,4",David Robert Mitchell,"3,4"
282,Denzel Washington,1 octobre 2014,Equalizer,"3,1",Antoine Fuqua,"4,0"
283,Ethan Hawke,1 décembre 2014,Predestination,,Michael Spierig,"3,9"
284,Jack O'Connell,7 janvier 2015,Invincible,"3,0",Angelina Jolie,"4,1"
285,Diego Luna,22 octobre 2014,La Légende de Manolo,"3,6",Jorge R. Gutierrez,"4,0"
286,Vincent Cassel,24 juin 2015,Un moment d'égarement,"2,6",Jean-François Richet,"3,3"
287,Anne Hathaway,24 juin 2015,Song One,,Kate Barker-Froyland,"2,7"
288,Andy Serkis,30 juillet 2014,La Planète des singes : l'affrontement,"3,6",Matt Reeves,"4,0"
289,Shane Harper,20 septembre 2017,Dieu n'est pas mort,,Harold Cronk,"3,5"
